id,league,division,season
1439054,usa,1,2020
1507933,usa,1,2020
1507919,usa,1,2020
1438973,usa,1,2020
1439045,usa,1,2020
1440011,usa,1,2020
1438894,usa,1,2020
1439090,usa,1,2020
1439031,usa,1,2020
1439913,usa,1,2020
1510246,usa,1,2020
1439150,usa,1,2020
1439984,usa,1,2020
1507920,usa,1,2020
1507937,usa,1,2020
1507945,usa,1,2020
1440021,usa,1,2020
1439166,usa,1,2020
1439936,usa,1,2020
1439042,usa,1,2020
1439093,usa,1,2020
1439140,usa,1,2020
1439080,usa,1,2020
1439173,usa,1,2020
1507946,usa,1,2020
1507926,usa,1,2020
1507931,usa,1,2020
1507917,usa,1,2020
1439073,usa,1,2020
1438875,usa,1,2020
1440023,usa,1,2020
1439107,usa,1,2020
1507929,usa,1,2020
1507942,usa,1,2020
1439595,usa,1,2020
1438979,usa,1,2020
1439067,usa,1,2020
1507943,usa,1,2020
1439999,usa,1,2020
1439050,usa,1,2020
1507923,usa,1,2020
1507918,usa,1,2020
1439051,usa,1,2020
1507913,usa,1,2020
1439935,usa,1,2020
1439004,usa,1,2020
1507938,usa,1,2020
1507936,usa,1,2020
1438995,usa,1,2020
1507949,usa,1,2020
1507915,usa,1,2020
1507948,usa,1,2020
1439084,usa,1,2020
1439104,usa,1,2020
1439131,usa,1,2020
1438851,usa,1,2020
1507914,usa,1,2020
1439976,usa,1,2020
1439059,usa,1,2020
1507916,usa,1,2020
1439916,usa,1,2020
1507941,usa,1,2020
1507909,usa,1,2020
1439994,usa,1,2020
1507932,usa,1,2020
1507934,usa,1,2020
1438854,usa,1,2020
1439034,usa,1,2020
1439912,usa,1,2020
1507928,usa,1,2020
1507910,usa,1,2020
1438997,usa,1,2020
1438862,usa,1,2020
1507925,usa,1,2020
1507911,usa,1,2020
1439142,usa,1,2020
1507935,usa,1,2020
1507912,usa,1,2020
1439066,usa,1,2020
1439979,usa,1,2020
1438883,usa,1,2020
1439594,usa,1,2020
1439975,usa,1,2020
1507927,usa,1,2020
1438980,usa,1,2020
1438989,usa,1,2020
1439029,usa,1,2020
1507922,usa,1,2020
1440005,usa,1,2020
1439937,usa,1,2020
1439055,usa,1,2020
1439601,usa,1,2020
1438903,usa,1,2020
1438848,usa,1,2020
1439934,usa,1,2020
1438865,usa,1,2020
1507908,usa,1,2020
1507907,usa,1,2020
1439997,usa,1,2020
1438437,usa,1,2020
1438846,usa,1,2020
1439105,usa,1,2020
1439139,usa,1,2020
1439121,usa,1,2020
1440028,usa,1,2020
1438998,usa,1,2020
1438447,usa,1,2020
1440016,usa,1,2020
1439894,usa,1,2020
1439005,usa,1,2020
1439103,usa,1,2020
1439117,usa,1,2020
1440007,usa,1,2020
1507921,usa,1,2020
1439146,usa,1,2020
1438882,usa,1,2020
1507924,usa,1,2020
1438887,usa,1,2020
1439001,usa,1,2020
1501763,usa,1,2020
1501764,usa,1,2020
1439993,usa,1,2020
1438900,usa,1,2020
1439060,usa,1,2020
1438439,usa,1,2020
1438880,usa,1,2020
1438873,usa,1,2020
1439019,usa,1,2020
1501766,usa,1,2020
1439922,usa,1,2020
1439603,usa,1,2020
1439113,usa,1,2020
1439168,usa,1,2020
1439058,usa,1,2020
1434935,usa,1,2020
1439596,usa,1,2020
1439608,usa,1,2020
1438891,usa,1,2020
1439061,usa,1,2020
1438446,usa,1,2020
1439174,usa,1,2020
1439899,usa,1,2020
1439982,usa,1,2020
1484318,usa,1,2020
1439600,usa,1,2020
1439052,usa,1,2020
1439074,usa,1,2020
1438987,usa,1,2020
1501765,usa,1,2020
1438868,usa,1,2020
1438432,usa,1,2020
1438436,usa,1,2020
1440019,usa,1,2020
1439109,usa,1,2020
1439124,usa,1,2020
1440000,usa,1,2020
1439085,usa,1,2020
1439002,usa,1,2020
1481991,usa,1,2020
1439909,usa,1,2020
1439918,usa,1,2020
1484321,usa,1,2020
1439129,usa,1,2020
1438879,usa,1,2020
1481992,usa,1,2020
1440024,usa,1,2020
1439989,usa,1,2020
1481994,usa,1,2020
1481993,usa,1,2020
1438897,usa,1,2020
1439100,usa,1,2020
1439120,usa,1,2020
1439015,usa,1,2020
1481995,usa,1,2020
1438860,usa,1,2020
1438985,usa,1,2020
1439130,usa,1,2020
1439065,usa,1,2020
1439037,usa,1,2020
1439030,usa,1,2020
1439133,usa,1,2020
1438890,usa,1,2020
1438872,usa,1,2020
1438977,usa,1,2020
1439138,usa,1,2020
1481990,usa,1,2020
1438893,usa,1,2020
1438975,usa,1,2020
1440003,usa,1,2020
1440014,usa,1,2020
1438896,usa,1,2020
1484320,usa,1,2020
1440025,usa,1,2020
1438847,usa,1,2020
1439057,usa,1,2020
1439048,usa,1,2020
1439910,usa,1,2020
1439017,usa,1,2020
1439891,usa,1,2020
1439925,usa,1,2020
1439032,usa,1,2020
1440015,usa,1,2020
1484319,usa,1,2020
1481989,usa,1,2020
1439978,usa,1,2020
1439914,usa,1,2020
1439917,usa,1,2020
1438444,usa,1,2020
1438866,usa,1,2020
1439126,usa,1,2020
1439134,usa,1,2020
1439157,usa,1,2020
1439980,usa,1,2020
1440013,usa,1,2020
1439072,usa,1,2020
1481987,usa,1,2020
1438974,usa,1,2020
1439919,usa,1,2020
1439977,usa,1,2020
1439063,usa,1,2020
1439118,usa,1,2020
1434932,usa,1,2020
1484317,usa,1,2020
1439908,usa,1,2020
1439007,usa,1,2020
1481988,usa,1,2020
1439907,usa,1,2020
1439915,usa,1,2020
1439920,usa,1,2020
1438428,usa,1,2020
1434922,usa,1,2020
1434923,usa,1,2020
1434924,usa,1,2020
1438423,usa,1,2020
1438424,usa,1,2020
1434925,usa,1,2020
1434926,usa,1,2020
1438425,usa,1,2020
1434927,usa,1,2020
1434928,usa,1,2020
1434929,usa,1,2020
1438426,usa,1,2020
1438427,usa,1,2020
1434910,usa,1,2020
1434911,usa,1,2020
1434912,usa,1,2020
1434913,usa,1,2020
1434914,usa,1,2020
1434915,usa,1,2020
1434916,usa,1,2020
1434917,usa,1,2020
1434918,usa,1,2020
1434919,usa,1,2020
1434920,usa,1,2020
1434921,usa,1,2020
